country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
SV;El Salvador;Chalatenango Department;;;SV-CH;;28/08/2020;0;0;0;0;-33;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;29/08/2020;0;0;0;0;-22;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;30/08/2020;0;0;0;0;-28;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;31/08/2020;0;0;0;0;-37;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;01/09/2020;0;0;0;0;-35;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;02/09/2020;0;0;0;0;-36;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;03/09/2020;0;0;0;0;-37;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;04/09/2020;0;0;0;0;-31;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;05/09/2020;0;0;0;0;-26;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;06/09/2020;0;0;0;0;-35;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;07/09/2020;0;0;0;0;-37;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;08/09/2020;0;0;0;0;-37;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;09/09/2020;0;0;0;0;-35;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;10/09/2020;0;0;0;0;-36;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;11/09/2020;0;0;0;0;-32;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;12/09/2020;0;0;0;0;-24;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;13/09/2020;0;0;0;0;-32;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;14/09/2020;0;0;0;0;-35;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;15/09/2020;0;0;0;0;-52;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;16/09/2020;0;0;0;0;-35;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;17/09/2020;0;0;0;0;-39;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;18/09/2020;0;0;0;0;-30;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;19/09/2020;0;0;0;0;-24;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;20/09/2020;0;0;0;0;-29;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;21/09/2020;0;0;0;0;-36;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;22/09/2020;0;0;0;0;-37;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;23/09/2020;0;0;0;0;-38;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;24/09/2020;0;0;0;0;-38;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;25/09/2020;0;0;0;0;-30;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;26/09/2020;0;0;0;0;-27;0
SV;El Salvador;Chalatenango Department;;;SV-CH;;27/09/2020;0;0;0;0;-34;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;15/02/2020;0;0;-4;-10;0;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;16/02/2020;-1;0;-8;-2;1;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;17/02/2020;0;0;-9;0;7;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;18/02/2020;0;0;-7;0;7;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;19/02/2020;0;0;-12;0;3;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;20/02/2020;0;0;-8;0;5;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;21/02/2020;0;0;-6;0;11;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;22/02/2020;0;0;-6;-1;1;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;23/02/2020;-2;0;-7;1;3;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;24/02/2020;0;0;-7;0;8;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;25/02/2020;0;0;-5;0;7;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;26/02/2020;0;0;-3;0;4;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;27/02/2020;0;0;-8;0;4;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;28/02/2020;0;0;-3;-2;11;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;29/02/2020;0;0;-7;-6;2;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;01/03/2020;-6;0;-8;-1;3;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;02/03/2020;0;0;-7;0;10;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;03/03/2020;0;0;-1;0;7;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;04/03/2020;0;0;-3;0;5;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;05/03/2020;0;0;-4;0;6;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;06/03/2020;0;0;-4;4;13;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;07/03/2020;0;0;-6;-11;2;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;08/03/2020;2;0;-3;6;3;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;09/03/2020;0;0;-4;0;7;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;10/03/2020;0;0;-4;0;7;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;11/03/2020;0;0;3;0;4;-1
SV;El Salvador;Cuscatlán Department;;;SV-CU;;12/03/2020;0;0;-9;0;-7;4
SV;El Salvador;Cuscatlán Department;;;SV-CU;;13/03/2020;0;0;-7;4;-1;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;14/03/2020;0;0;-5;-8;-2;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;15/03/2020;-25;0;-14;-10;5;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;16/03/2020;0;0;-5;0;-8;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;17/03/2020;0;0;-10;0;-13;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;18/03/2020;0;0;-19;0;-19;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;19/03/2020;0;0;-18;-10;-25;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;20/03/2020;0;0;-27;-18;-27;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;21/03/2020;-60;0;-34;-37;-28;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;22/03/2020;-80;0;-71;-53;-43;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;23/03/2020;0;0;-57;-44;-60;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;24/03/2020;0;0;-60;-47;-62;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;25/03/2020;0;0;-65;-48;-62;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;26/03/2020;0;0;-62;-49;-62;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;27/03/2020;0;0;-57;-47;-59;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;28/03/2020;-78;0;-65;-52;-51;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;29/03/2020;-82;0;-73;-50;-40;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;30/03/2020;0;0;-51;-31;-57;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;31/03/2020;0;0;-48;-38;-58;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;01/04/2020;0;0;-53;-36;-61;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;02/04/2020;0;0;-53;-38;-58;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;03/04/2020;0;0;-54;-44;-53;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;04/04/2020;-74;0;-59;-51;-49;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;05/04/2020;-77;0;-67;-50;-38;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;06/04/2020;0;0;-52;-42;-60;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;07/04/2020;0;0;-56;-40;-63;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;08/04/2020;0;0;-56;-43;-64;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;09/04/2020;0;0;-59;-48;-71;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;10/04/2020;0;0;-74;-60;-76;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;11/04/2020;-82;0;-72;-63;-66;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;12/04/2020;-84;0;-76;-59;-44;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;13/04/2020;0;0;-57;-43;-60;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;14/04/2020;0;0;-56;-46;-59;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;15/04/2020;0;0;-55;-43;-60;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;16/04/2020;0;0;-55;-44;-59;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;17/04/2020;0;0;-57;-49;-56;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;18/04/2020;-76;0;-64;-54;-50;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;19/04/2020;-79;0;-74;-56;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;20/04/2020;0;0;-60;-49;-57;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;21/04/2020;0;0;-56;-40;-58;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;22/04/2020;0;0;-59;-37;-59;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;23/04/2020;0;0;-57;-46;-57;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;24/04/2020;0;0;-54;-47;-53;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;25/04/2020;-78;0;-63;-54;-47;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;26/04/2020;-81;0;-76;-64;-40;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;27/04/2020;0;0;-60;-47;-56;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;28/04/2020;0;0;-55;-46;-56;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;29/04/2020;0;0;-56;-44;-55;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;30/04/2020;0;0;-51;-47;-54;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;01/05/2020;0;0;-60;-52;-67;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;02/05/2020;-71;0;-61;-55;-47;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;03/05/2020;-80;0;-73;-52;-40;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;04/05/2020;0;0;-57;-51;-52;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;05/05/2020;0;0;-57;-48;-55;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;06/05/2020;0;0;-51;-35;-55;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;07/05/2020;0;0;-72;-58;-65;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;08/05/2020;0;0;-69;-57;-62;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;09/05/2020;-80;0;-70;-65;-56;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;10/05/2020;-79;0;-70;-53;-39;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;11/05/2020;0;0;-60;-51;-60;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;12/05/2020;0;0;-64;-51;-60;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;13/05/2020;0;0;-65;-48;-60;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;14/05/2020;0;0;-58;-43;-60;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;15/05/2020;0;0;-58;-52;-56;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;16/05/2020;-78;0;-67;-60;-53;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;17/05/2020;-79;0;-74;-61;-35;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;18/05/2020;0;0;-59;-49;-56;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;19/05/2020;0;0;-55;-50;-58;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;20/05/2020;0;0;-59;-44;-59;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;21/05/2020;0;0;-60;-52;-57;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;22/05/2020;0;0;-56;-46;-52;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;23/05/2020;-77;0;-63;-59;-46;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;24/05/2020;-79;0;-75;-59;-34;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;25/05/2020;0;0;-60;-43;-55;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;26/05/2020;0;0;-54;-49;-56;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;27/05/2020;0;0;-53;-43;-54;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;28/05/2020;0;0;-55;-43;-56;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;29/05/2020;0;0;-59;-50;-50;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;30/05/2020;-78;0;-64;-53;-48;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;31/05/2020;0;0;-78;-58;-43;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;01/06/2020;0;0;-62;-51;-61;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;02/06/2020;0;0;-55;-46;-55;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;03/06/2020;0;0;-54;-51;-55;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;04/06/2020;0;0;-57;-51;-58;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;05/06/2020;0;0;-60;-50;-51;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;06/06/2020;-73;0;-65;-58;-43;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;07/06/2020;-75;0;-67;-47;-26;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;08/06/2020;0;0;-49;-39;-50;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;09/06/2020;0;0;-51;-34;-47;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;10/06/2020;0;0;-52;-34;-50;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;11/06/2020;0;0;-48;-44;-49;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;12/06/2020;0;0;-49;-38;-44;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;13/06/2020;-66;0;-59;-50;-37;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;14/06/2020;-72;0;-69;-48;-20;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;15/06/2020;0;0;-41;-34;-44;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;16/06/2020;0;0;-39;-27;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;17/06/2020;0;0;-37;-32;-58;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;18/06/2020;0;0;-47;-35;-45;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;19/06/2020;0;0;-41;-30;-41;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;20/06/2020;-57;0;-47;-42;-34;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;21/06/2020;0;0;-59;-41;-16;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;22/06/2020;0;0;-41;-33;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;23/06/2020;0;0;-37;-22;-44;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;24/06/2020;0;0;-42;-28;-44;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;25/06/2020;0;0;-40;-36;-45;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;26/06/2020;0;0;-40;-25;-39;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;27/06/2020;-60;0;-47;-35;-32;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;28/06/2020;0;0;-57;-34;-22;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;29/06/2020;0;0;-37;-29;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;30/06/2020;0;0;-38;-20;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;01/07/2020;0;0;-39;-17;-44;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;02/07/2020;0;0;-43;-24;-45;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;03/07/2020;0;0;-47;-31;-39;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;04/07/2020;-55;0;-46;-32;-34;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;05/07/2020;0;0;-56;-32;-23;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;06/07/2020;0;0;-39;-29;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;07/07/2020;0;0;-39;-16;-45;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;08/07/2020;0;0;-45;-26;-46;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;09/07/2020;0;0;-45;-32;-46;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;10/07/2020;0;0;-44;-30;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;11/07/2020;-56;0;-48;-30;-33;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;12/07/2020;0;0;-56;-34;-25;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;13/07/2020;0;0;-43;-24;-43;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;14/07/2020;0;0;-40;-19;-45;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;15/07/2020;0;0;-42;-25;-46;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;16/07/2020;0;0;-38;-19;-45;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;17/07/2020;0;0;-40;-26;-40;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;18/07/2020;-55;0;-42;-35;-33;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;19/07/2020;0;0;-54;-24;-21;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;20/07/2020;0;0;-43;-14;-39;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;21/07/2020;0;0;-40;-18;-43;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;22/07/2020;0;0;-40;-20;-41;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;23/07/2020;0;0;-42;-15;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;24/07/2020;0;0;-33;-17;-36;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;25/07/2020;0;0;-40;-30;-29;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;26/07/2020;0;0;-50;-26;-19;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;27/07/2020;0;0;-38;-18;-41;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;28/07/2020;0;0;-34;-13;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;29/07/2020;0;0;-34;-17;-41;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;30/07/2020;0;0;-39;-18;-42;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;31/07/2020;0;0;-36;-14;-34;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;01/08/2020;0;0;-35;-22;-29;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;02/08/2020;0;0;-47;-18;-18;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;03/08/2020;0;0;-36;-19;-46;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;04/08/2020;0;0;-35;0;-47;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;05/08/2020;0;0;-41;-13;-54;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;06/08/2020;0;0;-42;-28;-60;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;07/08/2020;0;0;-37;-19;-41;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;08/08/2020;0;0;-43;-27;-30;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;09/08/2020;0;0;-50;-22;-20;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;10/08/2020;0;0;-38;-23;-40;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;11/08/2020;0;0;-35;0;-40;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;12/08/2020;0;0;-36;0;-37;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;13/08/2020;0;0;-37;-15;-41;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;14/08/2020;0;0;-40;-22;-34;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;15/08/2020;0;0;-34;-31;-24;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;16/08/2020;0;0;-45;-18;-15;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;17/08/2020;0;0;0;0;-38;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;18/08/2020;0;0;0;0;-38;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;19/08/2020;0;0;0;0;-41;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;20/08/2020;0;0;0;0;-40;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;21/08/2020;0;0;0;0;-35;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;22/08/2020;0;0;0;0;-26;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;23/08/2020;0;0;0;0;-13;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;24/08/2020;0;0;0;0;-34;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;25/08/2020;0;0;0;0;-35;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;26/08/2020;0;0;0;0;-35;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;27/08/2020;0;0;0;0;-37;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;28/08/2020;0;0;0;0;-30;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;29/08/2020;0;0;0;0;-24;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;30/08/2020;0;0;0;0;-9;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;31/08/2020;0;0;0;0;-34;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;01/09/2020;0;0;0;0;-35;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;02/09/2020;0;0;0;0;-36;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;03/09/2020;0;0;0;0;-38;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;04/09/2020;0;0;0;0;-30;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;05/09/2020;0;0;0;0;-24;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;06/09/2020;0;0;0;0;-15;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;07/09/2020;0;0;0;0;-34;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;08/09/2020;0;0;0;0;-37;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;09/09/2020;0;0;0;0;-35;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;10/09/2020;0;0;0;0;-36;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;11/09/2020;0;0;0;0;-31;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;12/09/2020;0;0;0;0;-25;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;13/09/2020;0;0;0;0;-15;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;14/09/2020;0;0;0;0;-31;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;15/09/2020;0;0;0;0;-54;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;16/09/2020;0;0;0;0;-33;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;17/09/2020;0;0;0;0;-35;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;18/09/2020;0;0;0;0;-28;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;19/09/2020;0;0;0;0;-23;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;20/09/2020;0;0;0;0;-13;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;21/09/2020;0;0;0;0;-32;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;22/09/2020;0;0;0;0;-35;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;23/09/2020;0;0;0;0;-35;14
SV;El Salvador;Cuscatlán Department;;;SV-CU;;24/09/2020;0;0;0;0;-37;14
SV;El Salvador;Cuscatlán Department;;;SV-CU;;25/09/2020;0;0;0;0;-30;13
SV;El Salvador;Cuscatlán Department;;;SV-CU;;26/09/2020;0;0;0;0;-24;0
SV;El Salvador;Cuscatlán Department;;;SV-CU;;27/09/2020;0;0;0;0;-17;0
SV;El Salvador;La Libertad Department;;;SV-LI;;15/02/2020;6;5;5;1;3;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;16/02/2020;5;7;0;-3;0;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;17/02/2020;-1;2;1;4;3;0
SV;El Salvador;La Libertad Department;;;SV-LI;;18/02/2020;-1;-1;0;1;3;0
SV;El Salvador;La Libertad Department;;;SV-LI;;19/02/2020;-3;-1;-4;3;3;0
SV;El Salvador;La Libertad Department;;;SV-LI;;20/02/2020;-3;0;-2;2;2;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;21/02/2020;-2;1;-3;1;6;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;22/02/2020;-2;-2;-1;5;3;0
SV;El Salvador;La Libertad Department;;;SV-LI;;23/02/2020;-2;1;2;0;0;0
SV;El Salvador;La Libertad Department;;;SV-LI;;24/02/2020;-4;-2;0;-3;3;0
SV;El Salvador;La Libertad Department;;;SV-LI;;25/02/2020;-2;-1;-2;-1;3;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;26/02/2020;-5;-4;-1;5;3;0
SV;El Salvador;La Libertad Department;;;SV-LI;;27/02/2020;-4;-2;-2;-3;2;0
SV;El Salvador;La Libertad Department;;;SV-LI;;28/02/2020;2;5;-2;0;6;-2
SV;El Salvador;La Libertad Department;;;SV-LI;;29/02/2020;5;4;3;5;7;-2
SV;El Salvador;La Libertad Department;;;SV-LI;;01/03/2020;6;9;7;8;4;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;02/03/2020;4;7;5;23;5;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;03/03/2020;2;4;1;5;4;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;04/03/2020;-1;3;-4;2;4;0
SV;El Salvador;La Libertad Department;;;SV-LI;;05/03/2020;-4;1;0;0;4;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;06/03/2020;-4;-1;0;7;8;-1
SV;El Salvador;La Libertad Department;;;SV-LI;;07/03/2020;-3;-2;1;7;5;0
SV;El Salvador;La Libertad Department;;;SV-LI;;08/03/2020;-2;2;-2;-1;1;1
SV;El Salvador;La Libertad Department;;;SV-LI;;09/03/2020;-4;-2;0;3;5;0
SV;El Salvador;La Libertad Department;;;SV-LI;;10/03/2020;-3;2;-4;1;4;-1
